Intervalo 0
futebol -> 0.011165387299371946
lo -> 0.011165387299371946
voc -> 0.011165387299371946
camp -> 0.011339846475924634
outr -> 0.011339846475924634
tud -> 0.011514305652477321
prox -> 0.011688764829030007
p -> 0.011688764829030007
aind -> 0.011688764829030007
s -> 0.011688764829030007
pq -> 0.011863224005582694
holandes -> 0.011863224005582694
voz -> 0.011863224005582694
nad -> 0.011863224005582694
tom -> 0.01203768318213538
ne -> 0.01203768318213538
gost -> 0.012212142358688068
dar -> 0.012386601535240753
robben -> 0.012386601535240753
nunc -> 0.01256106071179344
hoj -> 0.012735519888346127
da -> 0.012735519888346127
cas -> 0.012909979064898814
parec -> 0.012909979064898814
el -> 0.012909979064898814
go -> 0.013433356594556873
sao -> 0.013433356594556873

Intervalo 8
grit -> 0.010141313383208644
tant -> 0.010141313383208644
demal -> 0.010141313383208644
pass -> 0.01030756442227764
da -> 0.01030756442227764
tom -> 0.010473815461346634
hor -> 0.010473815461346634
segund -> 0.010640066500415627
futebol -> 0.010640066500415627
acab -> 0.010640066500415627
porr -> 0.010806317539484621
@kaka_badboy -> 0.010972568578553617
angul -> 0.010972568578553617
precis -> 0.010972568578553617
cas -> 0.010972568578553617
maldad -> 0.01113881961762261
ato -> 0.01113881961762261
pq -> 0.01113881961762261
extr -> 0.011305070656691604
rob -> 0.011305070656691604
el -> 0.011305070656691604
outr -> 0.011305070656691604
#kakabadboy -> 0.011471321695760598
sort -> 0.011471321695760598
aren -> 0.011637572734829594
pul -> 0.011803823773898587
bonit -> 0.011803823773898587
dia -> 0.011803823773898587
fan -> 0.011803823773898587
fest -> 0.011803823773898587
zang -> 0.011803823773898587
dand -> 0.011970074812967581
temp -> 0.011970074812967581
lo -> 0.011970074812967581
dess -> 0.012136325852036575
#pigarr -> 0.012136325852036575
deu -> 0.012136325852036575
tecn -> 0.012302576891105569
gost -> 0.012302576891105569
rra -> 0.012302576891105569
camp -> 0.012468827930174564
nagl -> 0.012468827930174564
led -> 0.012468827930174564
holandes -> 0.012635078969243558
@kibeloco -> 0.012801330008312552
migr -> 0.012801330008312552
sab -> 0.012801330008312552
chut -> 0.012967581047381545
dar -> 0.012967581047381545
@ivetesangalo -> 0.012967581047381545

Intervalo 9
porqu -> 0.010101010101010102
bonit -> 0.010101010101010102
defes -> 0.010101010101010102
dand -> 0.010101010101010102
amarr -> 0.010245310245310245
porr -> 0.010245310245310245
#vaibrasil -> 0.01038961038961039
demal -> 0.01038961038961039
@cleycianne -> 0.010533910533910534
pec -> 0.010533910533910534
#copasolid -> 0.010533910533910534
esper -> 0.010533910533910534
s -> 0.010822510822510822
#torcidaivet -> 0.010822510822510822
outr -> 0.010822510822510822
dess -> 0.010966810966810967
nad -> 0.011111111111111112
camis -> 0.011111111111111112
fod -> 0.011255411255411256
tom -> 0.011255411255411256
aqu -> 0.011688311688311689
jesu -> 0.011832611832611833
grit -> 0.011832611832611833
dar -> 0.011976911976911976
el -> 0.01240981240981241
assist -> 0.012554112554112554
@ivetesangalo -> 0.012554112554112554
vc -> 0.012698412698412698
tud -> 0.012698412698412698
y -> 0.012842712842712843
pais -> 0.012987012987012988
robben -> 0.013131313131313131
continu -> 0.013131313131313131
@kaka_badboy -> 0.013275613275613276
car -> 0.013275613275613276
roub -> 0.01341991341991342
go -> 0.01341991341991342
sab -> 0.01341991341991342
#kakabadboy -> 0.013708513708513708
futebol -> 0.013852813852813853
part -> 0.013852813852813853
tao -> 0.013852813852813853
pass -> 0.013852813852813853
aind -> 0.013997113997113998
migr -> 0.013997113997113998
deu -> 0.013997113997113998
entr -> 0.014141414141414142
ne -> 0.014285714285714285
mand -> 0.01443001443001443
parec -> 0.01471861471861472

Intervalo 10
mick -> 0.010048333757313661
boa -> 0.010048333757313661
y -> 0.010048333757313661
porqu -> 0.010048333757313661
jagg -> 0.010175527855507505
tt -> 0.010175527855507505
lev -> 0.010175527855507505
cal -> 0.010302721953701348
pq -> 0.010302721953701348
mel -> 0.010302721953701348
roub -> 0.010684304248282879
hor -> 0.010811498346476723
ne -> 0.010811498346476723
vend -> 0.010938692444670568
menos -> 0.010938692444670568
@kaka_badboy -> 0.010938692444670568
interval -> 0.011065886542864412
acab -> 0.011065886542864412
porr -> 0.011065886542864412
#kakabadboy -> 0.011065886542864412
coraca -> 0.011193080641058254
dess -> 0.011320274739252099
dev -> 0.011320274739252099
bit -> 0.011447468837445943
el -> 0.011447468837445943
c -> 0.011447468837445943
@kibeloco -> 0.011447468837445943
s -> 0.011447468837445943
felip -> 0.011574662935639786
defes -> 0.01170185703383363
tom -> 0.01170185703383363
grand -> 0.011829051132027474
cim -> 0.011829051132027474
coloc -> 0.011956245230221318
demal -> 0.012083439328415161
vez -> 0.012083439328415161
boc -> 0.012210633426609005
tis -> 0.01233782752480285
dand -> 0.01233782752480285
outr -> 0.01271940981938438
narr -> 0.01271940981938438
